AstroVIEW X
Type, Original
 
Time, 06/15/2018 01:43:39 PM
Compression, 1
*Sample Rate 1, 1
Size, 6280
Trigger, 1
Recorder Type, TMX 
Amp Type, ,UNIV6, UNIV6, UNIV6, UNIV6
A_lp
SAMPLE,TIME,V_rms_20ms         , V_lp_3000Hz        , I1_rms_20ms        , I1_lp_3000Hz       
225, 06/15/2018 01:47:22 PM,0.0000             ,-0.0167            ,0.0000             ,-1.6667            
226, 06/15/2018 01:47:23 PM,0.0000             ,0.0000             ,0.0000             ,-2.0833            
227, 06/15/2018 01:47:24 PM,0.0000             ,-0.0500            ,0.0000             ,-1.2500            
228, 06/15/2018 01:47:25 PM,0.0000             ,-0.0833            ,0.0000             ,-1.6667            
229, 06/15/2018 01:47:26 PM,0.0000             ,-0.0500            ,0.0000             ,-2.5000            
230, 06/15/2018 01:47:27 PM,0.0000             ,-0.0667            ,0.0000             ,-2.5000            
231, 06/15/2018 01:47:28 PM,0.0000             ,-0.0333            ,0.0000             ,-2.0833            
232, 06/15/2018 01:47:29 PM,0.0000             ,-0.1000            ,0.0000             ,-1.6667            
233, 06/15/2018 01:47:30 PM,0.0000             ,-0.0667            ,0.0000             ,-1.6667            
234, 06/15/2018 01:47:31 PM,0.0000             ,-0.0333            ,0.0000             ,-3.3333            
235, 06/15/2018 01:47:32 PM,0.0000             ,-0.0333            ,0.0000             ,-1.6667            
236, 06/15/2018 01:47:33 PM,0.0000             ,-0.0500            ,0.0000             ,-2.0833            
237, 06/15/2018 01:47:34 PM,0.0000             ,-0.1167            ,0.0000             ,-2.0833            
238, 06/15/2018 01:47:35 PM,0.0000             ,-0.0500            ,0.0000             ,-0.4167            
239, 06/15/2018 01:47:36 PM,0.0000             ,-0.0667            ,0.0000             ,-1.6667            
240, 06/15/2018 01:47:37 PM,0.0000             ,-0.0667            ,0.0000             ,-0.4167            
241, 06/15/2018 01:47:38 PM,0.0000             ,-0.0167            ,0.0000             ,-2.5000            
242, 06/15/2018 01:47:39 PM,0.0000             ,-0.0333            ,0.0000             ,-0.8333            
243, 06/15/2018 01:47:40 PM,0.0000             ,-0.0333            ,0.0000             ,-0.8333            
244, 06/15/2018 01:47:41 PM,0.0000             ,-0.0167            ,0.0000             ,-1.2500            
245, 06/15/2018 01:47:42 PM,0.0000             ,0.0000             ,0.0000             ,-2.0833            
246, 06/15/2018 01:47:43 PM,0.0000             ,-0.0667            ,0.0000             ,-0.4167            
247, 06/15/2018 01:47:44 PM,0.0000             ,-0.0333            ,0.0000             ,-2.5000            
248, 06/15/2018 01:47:45 PM,0.0000             ,-0.0167            ,0.0000             ,-2.0833            
249, 06/15/2018 01:47:46 PM,0.0000             ,-0.0500            ,0.0000             ,-2.5000            
250, 06/15/2018 01:47:47 PM,0.0000             ,0.0000             ,0.0000             ,-1.6667            
251, 06/15/2018 01:47:48 PM,0.0000             ,-0.0667            ,0.0000             ,-0.8333            
252, 06/15/2018 01:47:49 PM,0.0000             ,-0.0167            ,0.0000             ,-2.5000            
